Day,Capital Available at Start,Customers at Start (C_prev),Delivery Investment (m_i),Probability (p),Marketing Spend (M_i),Growth Factor (G),Customers at End (C_i),Total Orders,Capital Available at End
1,15.0,1020000.0,3.0,0.5609506911247788,6.0,1.0000818173386752,1020083.4536854487,238019.47252660472,20.281168351596286
2,20.281168351596286,1020083.4536854487,4.056233670319258,0.6445569663150341,8.112467340638515,1.0010668005846846,1021171.6793102674,238273.3918390624,22.408870850982257
3,22.408870850982257,1021171.6793102674,4.481774170196451,0.6735564975974433,8.963548340392903,1.0013960186857476,1022597.2540559408,238606.0259463862,23.279909897176076
4,23.279909897176076,1022597.2540559408,4.655981979435215,0.684734439841974,9.31196395887043,1.0015217004579673,1024153.3407657538,238969.11284534255,23.650110729590985
5,23.650110729590985,1024153.3407657538,4.7300221459181975,0.6893685073622736,9.460044291836395,1.001573635053896,1025764.9843633474,239345.1630181144,23.820754072923258
6,23.820754072923258,1025764.9843633474,4.764150814584652,0.6914815753962205,9.528301629169304,1.0015972857574744,1027403.4241633869,239727.4656381236,23.911949567456716
7,23.911949567456716,1027403.4241633869,4.782389913491343,0.6926049448380771,9.564779826982686,1.0016098515932865,1029057.3912027244,240113.3912806357,23.97158330382083
8,23.97158330382083,1029057.3912027244,4.794316660764166,0.6933373156378404,9.588633321528333,1.0016180409953035,1030722.4482482105,240501.90459124913,24.01874759700328
9,24.01874759700328,1030722.4482482105,4.8037495194006565,0.6939153114013111,9.607499038801313,1.0016245026343382,1032396.8595806613,240892.60056882098,24.06105507293057
10,24.06105507293057,1032396.8595806613,4.812211014586115,0.6944328601779308,9.62442202917223,1.0016302873735863,1034079.9631453658,241285.32473391868,24.101541513207344
11,24.101541513207344,1034079.9631453658,4.820308302641469,0.6949273127276719,9.640616605282938,1.0016358129636438,1035771.5245545233,241680.02239605543,24.14141794904626
12,24.14141794904626,1035771.5245545233,4.828283589809253,0.6954135333073186,9.656567179618506,1.0016412456152222,1037471.4800275704,242076.67867309976,24.18116790000449
13,24.18116790000449,1037471.4800275704,4.836233580000898,0.6958974403842633,9.672467160001796,1.0016466514935596,1039179.8339896833,242475.29459759276,24.220984835857358
14,24.220984835857358,1039179.8339896833,4.844196967171472,0.6963813921767699,9.688393934342944,1.0016520569557663,1040896.6182627181,242875.87759463422,24.260946590021
15,24.260946590021,1040896.6182627181,4.8521893180042,0.6968663297809814,9.7043786360084,1.0016574725166578,1042621.8758001706,243278.43768670646,24.301084897210785
16,24.301084897210785,1042621.8758001706,4.860216979442157,0.6973526301860105,9.720433958884314,1.001662902385932,1044355.6542050636,243682.98598118153,24.341413117755202
17,24.341413117755202,1044355.6542050636,4.868282623551041,0.6978404458205802,9.736565247102082,1.0016683482638162,1046098.0031475633,244089.5340677648,24.381937291167965
18,24.381937291167965,1046098.0031475633,4.8763874582335935,0.698329839714637,9.752774916467187,1.0016738108517196,1047848.9733371938,244498.09377867857,24.422660543187902
19,24.422660543187902,1047848.9733371938,4.884532108637581,0.6988208393026367,9.769064217275162,1.001679290453472,1049608.6161147994,244908.6770934532,24.46358484288235
20,24.46358484288235,1049608.6161147994,4.892716968576471,0.6993134578406223,9.785433937152941,1.0016847872146142,1051376.9832915785,245321.29610136832,24.50471170323504
21,24.50471170323504,1051376.9832915785,4.900942340647008,0.6998077029313553,9.801884681294016,1.0016903012176337,1053154.1270866282,245735.96298687992,24.54604246050681
22,24.54604246050681,1053154.1270866282,4.909208492101363,0.7003035799175852,9.818416984202726,1.0016958325198668,1054940.1001037736,246152.69002421387,24.587578385655558
23,24.587578385655558,1054940.1001037736,4.917515677131112,0.7008010932325011,9.835031354262224,1.00170138116858,1056734.95532407,246571.48957561635,24.629320728799208
24,24.629320728799208,1056734.95532407,4.925864145759842,0.7013002469370117,9.851728291519684,1.001706947206972,1058538.74610457,246992.37409106636,24.671270736983665
25,24.671270736983665,1058538.74610457,4.934254147396733,0.7018010449333307,9.868508294793466,1.00171253067656,1060351.5261796014,247415.35610857367,24.713429661307885
26,24.713429661307885,1060351.5261796014,4.942685932261577,0.7023034910497121,9.885371864523155,1.0017181316181265,1062173.3496630592,247840.44825471382,24.755798759805984
27,24.755798759805984,1062173.3496630592,4.951159751961197,0.7028075890738887,9.902319503922394,1.0017237500720964,1064004.2710511198,248267.66324526127,24.798379298638068
28,24.798379298638068,1064004.2710511198,4.959675859727614,0.7033133427660913,9.919351719455229,1.0017293860786824,1065844.3452251342,248697.01388586464,24.8411725526071
29,24.8411725526071,1065844.3452251342,4.9682345105214205,0.7038207558639352,9.936469021042841,1.0017350396779432,1067693.6274546112,249128.51307274261,24.8841798054074
30,24.8841798054074,1067693.6274546112,4.9768359610814805,0.7043298320840652,9.953671922162961,1.0017407109098035,1069552.173400249,249562.17379339144,24.927402349766446
